code,question,question_type,standard_answer,importance_score,occurrence_count
,temperature 和 top_p 如何影响输出？,Prompt 与上下文工程,temperature 和 top_p 都影响模型采样随机性，但控制方式不同。temperature 会整体调整概率分布，值越高越发散，值越低越稳定；top_p 只在累计概率达到阈值的一组候选 token 中采样，限制低概率候选参与生成。事实问答、结构化输出和工具调用一般使用低随机性；创意写作可以适当提高，但应通过评测确认不会牺牲准确性和格式稳定性。,77.5,31
,上下文窗口 Context Window 的限制是什么？,Prompt 与上下文工程,上下文窗口限制的是模型单次请求最多能接收和生成的 Token 数，它不等于长期记忆。超过窗口的历史内容模型无法看到，即使能放进窗口，过多无关内容也会增加成本、延迟和注意力干扰。工程上需要做历史裁剪、摘要记忆、RAG 证据筛选、工具 schema 按需加载和 Token 预算控制，而不是把所有信息都塞进上下文。,75.9,30
,Context Engineering 和 Prompt Engineering 有什么区别？,Prompt 与上下文工程,Prompt Engineering 更关注“指令怎么写”，例如角色、任务、约束、示例和输出格式；Context Engineering 更关注“给模型看什么”，包括历史消息、RAG 证据、工具结果、用户画像、业务规则、排序、裁剪、缓存和 Token 预算。生产问题往往不是改一句 Prompt 就能解决，而是要系统性管理上下文来源、优先级、可信度和长度。,74.3,29
,历史对话太长时如何裁剪？,Prompt 与上下文工程,历史对话过长时，应按任务相关性和信息价值裁剪，而不是简单删除最早消息。必须保留用户目标、关键事实、明确约束、偏好、未完成事项、最近工具结果和重要决策依据；寒暄、重复确认、已完成细节可以删除或摘要。复杂任务更适合维护结构化 state，并结合最近消息窗口与摘要记忆，既减少 Token，又保持任务连续性。,72.7,28
,摘要记忆如何用于多轮对话？,Prompt 与上下文工程,摘要记忆用于把长对话压缩成后续决策所需的关键信息。高质量摘要应保留用户目标、偏好、关键事实、约束、未完成事项、重要结论、信息来源和时间，而不是只写一句概括。实际使用时通常采用“结构化摘要 + 最近几轮原文”的组合，既节省 Token 又保留细节；摘要还要在关键事实变化时更新，避免旧摘要误导后续回答。,72.7,28
,Prompt 模板如何做版本管理？,Prompt 与上下文工程,Prompt 模板应像代码一样做版本管理。每个版本需要记录修改原因、适用场景、关联模型、上线时间、评测结果和回滚方式。生产环境中不应直接修改线上 Prompt，而应通过配置中心或 Prompt 管理平台灰度发布。这样当质量下降时，可以快速定位是模型、检索、数据还是 Prompt 变更导致的问题。,71.2,27
,Prompt 变更如何评测？,Prompt 与上下文工程,Prompt 变更应像代码变更一样评测。上线前先做静态审查，检查变量插槽、指令优先级、拒答规则和输出格式；再用固定评测集、历史 Trace 和坏例集做回归，对比准确率、忠实度、格式合规率、安全拒答、延迟和 Token 成本。关键场景要人工抽检并小流量灰度，只有核心指标不退化且解决了明确问题，才适合放量。,69.6,26
,Prompt Caching 适合哪些场景？,Prompt 与上下文工程,Prompt Caching 适合大量请求共享稳定前缀的场景，例如系统提示词、工具 schema、固定业务规则、公共知识说明和长 Few-shot 示例。它可以降低重复 prefill 成本和首 token 延迟。缓存内容必须稳定且权限无关；用户隐私、实时数据、租户权限和频繁变化的业务规则不宜缓存，或者必须把租户、版本和权限条件纳入缓存 Key。,68.0,25
,长上下文中的位置偏差是什么？,Prompt 与上下文工程,长上下文中的位置偏差是指模型在很长输入里可能更关注开头和结尾，而忽略中间信息，导致关键证据虽然被放进上下文却没有被正确使用。解决方式包括把最重要证据放在更显著的位置、对证据做排序和压缩、给关键片段编号、分段检索后逐步汇总，以及避免一次塞入大量无关材料。长上下文能扩展容量，但不能替代检索质量和上下文工程。,68.0,25
,多条指令冲突时应该如何处理？,Prompt 与上下文工程,多条指令冲突时应按优先级处理：system 和 developer 指令高于 user 指令，用户指令高于外部文档和工具返回内容。工程上应在 Prompt 中明确指令优先级，并把 RAG 证据、网页内容和工具结果标记为数据而不是指令。涉及安全、权限或合规的冲突时，应拒绝执行或请求澄清，不能让模型自行猜测。,66.4,24
,RAG 证据注入 Prompt 应该怎么写？,Prompt 与上下文工程,RAG 证据注入 Prompt 应把指令、用户问题和检索证据清晰隔离，并明确证据使用规则：只能基于给定证据回答，关键结论必须标引用，证据不足要拒答或请求补充，不能编造来源。每条证据最好包含编号、标题、来源、页码、版本、时间和权限范围。外部文档要标记为不可信数据，禁止其覆盖系统指令或诱导工具调用。,64.8,23
,如何要求模型输出引用格式？,Prompt 与上下文工程,要求模型输出引用格式时，可以先给检索证据编号，例如 [1]、[2]、[3]，再要求答案中的关键结论后标注对应编号。Prompt 中要明确禁止编造引用，也不能引用不支持该结论的材料。后端最好校验引用 ID 是否存在，并对重要场景抽检 Citation Accuracy，确保引用内容真正支撑答案。,64.8,23
,Persona 角色设定有什么用，什么时候没用？,Prompt 与上下文工程,Persona 角色设定主要影响语气、表达风格、互动方式和专业视角，例如客服、老师、代码审查员或法律助理。它适合改善用户体验和统一表达，但不能替代事实知识、权限控制、工具能力和业务规则。对于准确性要求高的问答，Persona 只能作为表达层约束，真正的正确性仍应依赖 RAG 证据、结构化校验、业务规则和评测体系。,63.2,22
,为什么 Prompt 中要加入反例和边界样例？,Prompt 与上下文工程,Prompt 中加入反例和边界样例，是为了让模型理解任务边界、拒绝条件和容易误判的情况。只有正例时，模型可能把规则泛化得过宽；加入缺字段、非法输入、歧义问题、越权请求、证据不足等反例，可以提升分类、抽取、拒答和结构化输出稳定性。边界样例最好来自真实线上坏例，并标明为什么不满足条件，后续随着业务规则变化持续更新。,61.6,21
,Prompt 泄露风险如何降低？,Prompt 与上下文工程,降低 Prompt 泄露风险，首先不能把密钥、内部策略、供应商凭证和敏感业务规则放入模型可输出的上下文。系统应明确拒绝泄露内部提示词，并在输出侧检测敏感片段。更重要的是，安全边界不能依赖 Prompt 保密：权限校验、密钥管理、工具执行、数据过滤都必须在服务端实现。即使 Prompt 被用户试探或部分泄露，也不应导致真实权限扩大或数据泄露。,60.0,20
,多语言 Prompt 如何保证一致性？,Prompt 与上下文工程,多语言 Prompt 要保证核心规则一致，不能只做简单机器翻译。推荐将任务目标、字段 schema、业务规则和拒答条件做成语言无关的结构化配置，再为不同语言维护本地化表达和 Few-shot 示例。评测集也要覆盖不同语言、术语、日期格式、数字格式和口语表达，避免某一语言效果稳定而另一语言退化。,60.0,20
,业务规则动态注入上下文时要注意什么？,Prompt 与上下文工程,业务规则动态注入上下文时，需要注意权限、版本、生效时间、适用范围和规则冲突。不能把所有规则无差别塞给模型，而应根据用户身份、地区、产品线和业务场景先筛选，再把规则来源、版本和优先级一起放入上下文。如果规则之间存在冲突，要明确以哪条为准；如果规则过长，还需要摘要或结构化，否则会影响模型理解和成本。,58.4,19
,用户输入清洗在 Prompt 拼装前要做什么？,Prompt 与上下文工程,用户输入清洗的目标是提升安全性和稳定性，而不是改变用户意图。常见处理包括长度限制、编码规范化、不可见字符清理、文件类型校验、敏感信息识别、恶意指令检测和 Prompt Injection 风险标记。对于可疑输入，可以降级为只读模式、要求用户确认或拒绝高风险工具调用。需要注意的是，清洗不能过度，否则会丢失业务关键信息。,56.8,18
,输出格式失败时如何自动重试？,Prompt 与上下文工程,输出格式失败时，应先用 JSON 解析器、JSON Schema 或业务校验器定位问题，例如语法错误、字段缺失、类型不匹配、枚举越界或跨字段规则失败。可修复的问题可以把具体校验错误反馈给模型做一次“只修格式”的重试，并限制重试次数。多次失败后应走兜底、人工处理或返回明确错误，不能把半成品写入业务系统。,56.8,18
,Prompt A/B 测试如何设计？,Prompt 与上下文工程,Prompt A/B 测试应先明确假设和核心指标，例如准确率、任务完成率、格式合规率、拒答率、满意度、延迟和成本。实验时要随机分流，并保证除 Prompt 外的模型、知识库、检索参数和用户入口尽量一致。结果分析不能只看平均分，还要看坏例、安全指标、长尾样本和成本变化；通过后再灰度放量，并保留旧版本回滚。,55.2,17
,Reasoning 模型的 Prompt 有什么特点？,Prompt 与上下文工程,Reasoning 模型的 Prompt 应更强调问题目标、约束、输入资料、可用工具、输出格式和验收标准，而不是要求模型暴露完整隐藏推理链。它适合复杂推理、规划、代码、多步骤分析和高价值决策，但成本和延迟通常更高。生产中更推荐让模型输出结论、关键依据、可验证步骤摘要和不确定性说明，同时用评测和兜底控制质量。,53.7,16
,生产级大模型 API 调用链路应该包括哪些层？,大模型 API 工程与后端集成,生产级大模型 API 调用链路通常包括业务接入层、模型网关、Prompt 组装层、RAG/工具层、模型调用层、结果解析层和观测治理层。链路中需要处理鉴权、限流、超时、重试、流式输出、结构化校验、日志脱敏、成本统计、模型降级和异常告警。重点不是单次 HTTP 调用成功，而是线上高并发、可观测、可回滚和成本可控。,85.8,36
,TTFT 首 token 延迟如何优化？,大模型 API 工程与后端集成,TTFT（Time To First Token）是从用户发起请求到前端收到第一个生成 token 的时间。它受排队、网络、模型预热、输入上下文长度、RAG/工具前置步骤、模型 prefill 速度和供应商负载影响。优化时可以减少不必要上下文、并行执行检索和权限判断、复用连接、就近部署、预热模型、缓存稳定前置结果，并在慢模型不可用时降级到更快模型；同时要单独监控 TTFT，而不是只看完整响应耗时。,84.2,35
,流式输出 Streaming/SSE 如何实现？,大模型 API 工程与后端集成,Streaming/SSE 的实现通常是后端调用模型流式接口，接收增量事件后按 SSE 格式转发给前端。后端要处理事件类型、心跳、客户端断开、取消请求、上游超时、错误事件、最终 usage 和完整内容落库。SSE 适合服务端到浏览器的单向增量输出，实现简单；如果需要双向实时控制或多人协作，再考虑 WebSocket。,84.2,35
,大模型调用的 timeout 应该如何设置？,大模型 API 工程与后端集成,大模型调用的 timeout 应分层设置，包括连接超时、首 token 超时、工具调用超时、总生成超时和异步任务超时。不同模型和任务的阈值可以不同，例如短问答要求更短 TTFT，长文档生成可以更长但应异步化。超时后需要取消上游请求、释放连接资源，并返回明确错误状态，避免用户一直等待或后台任务泄漏。,82.6,34
,大模型 API 重试策略如何设计？,大模型 API 工程与后端集成,大模型 API 重试策略要按错误类型区分处理。网络抖动、超时、临时 5xx 和可恢复 429 可以使用指数退避加 jitter 重试；参数错误、鉴权失败、余额不足、内容安全拒绝等不可恢复错误不应重试。涉及写操作、工具调用或扣费的请求必须使用幂等 Key，并设置最大重试次数和总超时时间，避免重试风暴和重复业务动作。,81.0,33
,指数退避和 jitter 为什么重要？,大模型 API 工程与后端集成,指数退避会在失败后逐步拉长重试间隔，jitter 会加入随机抖动，避免大量请求在同一时间同时重试。两者结合可以降低模型供应商限流、网络抖动或短暂 5xx 故障下的重试风暴风险。重试策略还必须设置最大次数、总超时、可重试错误白名单和熔断条件，并配合幂等 Key，防止重复执行业务动作或放大系统故障。,81.0,33
,遇到 429 限流应该如何处理？,大模型 API 工程与后端集成,遇到 429 时要先区分是请求速率限制、并发限制、Token 配额不足还是账户余额/额度问题。可恢复的限流应读取 Retry-After 或供应商建议，使用指数退避加 jitter、排队、削峰和租户级限流；不可恢复的配额问题应提示用户、切换备用模型或降级功能。关键是防止全局重试风暴，并把 429 指标按模型、租户和供应商拆开监控。,79.4,32
,大模型请求为什么需要幂等 Key？,大模型 API 工程与后端集成,大模型请求需要幂等 Key，是因为前端刷新、后端重试、网络超时、队列重复投递或 Trace 回放都可能让同一业务请求执行多次。纯文本生成会造成重复成本，工具调用、创建工单、发消息、扣费等写操作则可能造成业务事故。服务端可用 request_id、业务唯一键或幂等表识别重复请求，返回已有结果或阻止重复执行。,77.8,31
,用户取消请求时后端应该如何处理？,大模型 API 工程与后端集成,用户取消请求时，前端停止展示只是第一步，后端也应尽量取消模型流、检索任务、Rerank、工具调用或后台队列任务，并释放连接和计算资源。对于已经开始且不可取消的写操作，应继续完成或进入明确的补偿流程，不能让业务状态停在半途中。系统还要记录取消状态、已产生的 usage 和任务最终结果，方便排障和计费。,77.8,31
,流式 JSON 输出如何解析？,大模型 API 工程与后端集成,流式 JSON 不应在尚未完成的半截 JSON 上触发业务动作，因为字段可能未闭合、后续内容可能改变语义。更稳妥的方案有两种：一种是每个流式事件都设计成独立完整的小 JSON；另一种是前端只展示进度，后端等完整输出结束后再做 JSON 解析、schema 校验和业务校验。若解析失败，应走格式修复重试或兜底，不要把不完整结构写入数据库。,76.2,30
,模型网关 Model Gateway 解决什么问题？,大模型 API 工程与后端集成,模型网关用于把业务系统与具体模型供应商解耦，统一处理模型路由、鉴权、限流、超时、重试、日志脱敏、成本统计、缓存、降级和版本管理。它还可以封装不同供应商在消息格式、工具调用、流式事件和 usage 字段上的差异。生产中有模型网关后，业务服务只关心任务语义和 SLA，不需要在每个模块里重复适配各家模型 API。,74.6,29
,结构化解析失败如何兜底？,大模型 API 工程与后端集成,结构化解析失败时，先判断失败类型：JSON 语法错误、字段缺失、类型不匹配、枚举越界、跨字段约束失败，还是业务规则不满足。格式类问题可以把具体校验错误反馈给模型进行有限次数修复；业务类问题应提示用户补充信息、走兜底或转人工。任何解析失败的内容都不能直接进入数据库、工具调用、审批流或下游自动化任务。,74.6,29
,多模型/多供应商路由如何设计？,大模型 API 工程与后端集成,多模型/多供应商路由应根据任务类型、复杂度、上下文长度、工具调用能力、结构化输出稳定性、延迟、成本、数据合规和供应商健康状态动态选择。常见策略是简单任务走低成本模型，复杂推理或关键生成走强模型，敏感数据走私有化或合规区域模型，供应商异常时自动熔断并切到备用。路由策略必须可观测、可灰度、可回滚，不能只写死一个 model 参数。,73.0,28
,大模型服务限流应该分哪些层级？,大模型 API 工程与后端集成,大模型服务限流应至少覆盖用户级、租户级、功能级、接口级、模型级、供应商级和全局资源级。用户级防滥用，租户级防单个客户耗尽额度，功能级区分高成本任务，模型/供应商级保护外部配额，全局级保护线程池、队列和网关。限流后要返回明确错误码，并支持排队、降级、重试建议和配额告警，而不是简单失败。,71.5,27
,模型降级策略如何设计？,大模型 API 工程与后端集成,模型降级策略要明确触发条件、降级路径和不可降级边界。触发条件包括供应商故障、429 限流、延迟过高、成本超限或质量异常；路径包括切换备用/小模型、缩短上下文、降低 Top-K、关闭部分 Rerank、转异步、返回摘要或转人工。权限过滤、安全拦截、审计日志和高风险审批不能被降级关闭，否则是在用可用性换安全事故。,71.5,27
,Token 预算如何在后端控制？,大模型 API 工程与后端集成,后端控制 Token 预算通常从请求构造阶段开始。系统可以分别给系统提示词、历史消息、RAG 证据、工具 schema 和最大输出长度设置上限，并按优先级裁剪内容。历史对话可以摘要，检索证据可以经过 Rerank 后只保留最相关片段，工具 schema 可以按需加载。后端还应记录每次调用的 input token、output token、模型、用户、租户和费用估算，用于配额控制和成本分析。,69.9,26
,usage 记录应该保存哪些字段？,大模型 API 工程与后端集成,usage 记录应保存 tenant_id、user_id、功能、模型、模型版本、Prompt 版本、输入 token、输出 token、缓存命中、工具调用、Embedding/Rerank 用量、重试次数、耗时、费用估算、状态码和 trace_id。内容原文可按合规要求脱敏或短期留存，但用量、成本和链路字段必须完整，否则无法做账单、配额、成本优化和异常追踪。,68.3,25
,如何统计每个用户或租户的模型成本？,大模型 API 工程与后端集成,统计用户或租户模型成本时，应记录每次调用的 tenant_id、user_id、功能、模型、Prompt 版本、输入 token、输出 token、缓存命中、重试次数、工具调用、Embedding/Rerank 成本、耗时和费用估算。聚合维度通常包括天/月、租户、用户、功能、模型和知识库。还要区分成功请求、失败请求和重试请求，否则容易低估真实成本。,68.3,25
,大模型日志如何脱敏？,大模型 API 工程与后端集成,大模型日志脱敏应在日志入库和对外传输前完成。需要识别手机号、邮箱、身份证、银行卡、地址、API Key、访问令牌、企业文档片段、工具返回中的敏感字段和用户上传文件内容。日志可保留 trace_id、模型版本、Prompt 版本、耗时、Token、错误码和质量评分等排障字段；原始输入输出应按合规要求脱敏、加密、限权或短期留存。,66.7,24
,WebSocket 和 SSE 在 AI 应用中如何取舍？,大模型 API 工程与后端集成,SSE 适合服务端向前端单向推送增量内容，实现简单、基于 HTTP、浏览器支持好，适合大多数 AI 聊天、生成式问答和进度通知。WebSocket 支持双向低延迟通信，更适合用户中途控制、多人协作、实时语音/事件流和复杂任务状态交互。选型时优先看通信方向和复杂度：普通流式输出优先 SSE，确实需要双向实时控制再使用 WebSocket。,65.1,23
,长任务为什么要使用异步队列？,大模型 API 工程与后端集成,长任务使用异步队列是为了避免 HTTP 长连接占用、浏览器超时和后端线程阻塞，同时获得排队、优先级、重试、取消、失败恢复和进度查询能力。典型流程是创建 task_id，任务进入队列，Worker 执行解析、检索、生成或批处理，前端通过轮询、SSE 或 WebSocket 获取状态。任务状态应持久化，否则服务重启后用户无法知道任务是否完成。,65.1,23
,批量调用 Batch API 或批处理适合什么场景？,大模型 API 工程与后端集成,Batch API 或批处理适合离线、大批量、对实时性要求低且可容忍稍后返回的任务，例如批量 Embedding、日志分类、文档摘要、离线评测和数据标注。它的优势是吞吐高、成本可能更低、便于削峰；缺点是无法满足实时交互，也不适合强依赖上下文即时反馈的聊天任务。设计时要关注任务切片、失败重跑、幂等和结果回填。,63.5,22
,大模型响应缓存如何设计？,大模型 API 工程与后端集成,大模型响应缓存适合重复率高、确定性强、权限边界清晰的请求，例如固定 FAQ、低温度分类、模板化摘要。缓存 Key 应包含模型版本、Prompt 版本、参数、知识库版本、用户/租户权限、语言和重要上下文字段，避免返回过期或越权结果。企业 RAG 中通常更推荐缓存 Query Embedding、检索结果或 Rerank 结果，最终答案缓存要谨慎。,61.9,21
,模型响应是否应该全量存储？,大模型 API 工程与后端集成,模型响应是否全量存储取决于排障、审计、隐私和成本要求。全量存储便于 Trace 回放、质量分析和投诉定位，但会增加敏感数据泄露、合规删除和存储成本风险。常见做法是默认保存 trace_id、模型版本、usage、结构化结果、引用和必要摘要；对敏感原文做脱敏、加密、访问控制和短期留存，并建立删除与审计机制。,61.9,21
,文件上传后的解析链路如何设计？,大模型 API 工程与后端集成,文件上传后应先做类型、大小、病毒和内容安全扫描，再保存原文件、元数据、上传人、租户和权限标签。随后通过异步任务解析文本、表格、图片 OCR、页码和结构信息，经过清洗、切分、Embedding、入库和索引状态更新。前端应能查看解析进度、失败原因和重试入口；后端要保证原文、Chunk、向量和权限元数据版本一致。,60.3,20
,长任务进度如何返回给前端？,大模型 API 工程与后端集成,长任务进度通常通过任务状态机返回给前端，例如 queued、running、parsing、retrieving、generating、completed、failed。前端可以通过轮询、SSE 或 WebSocket 获取当前阶段、进度百分比、日志摘要和错误信息。后端应持久化任务状态，支持取消、失败重试和断点恢复，避免服务重启后任务状态丢失。,60.3,20
,多模态输入在后端如何抽象？,大模型 API 工程与后端集成,多模态输入在后端应抽象为统一的 message parts，例如 text、image、audio、file，每个 part 记录类型、MIME、大小、存储地址、解析状态和安全标签。不同模型适配层再转换为供应商需要的格式。处理链路还应包括文件扫描、OCR/ASR、权限校验、大小限制和日志脱敏，避免把原始文件不受控地传给模型。,58.7,19
,API Key 和密钥如何管理？,大模型 API 工程与后端集成,API Key 和密钥应放在 KMS、Vault 或安全配置中心，按环境、租户、供应商和权限范围隔离，并支持定期轮换、最小权限和吊销。密钥不能写在前端代码、Prompt、日志、测试样本或代码仓库中；模型调用应由服务端代理，前端只持有业务 token。发生泄露时要能快速定位影响范围、禁用旧密钥、替换配置并审计异常调用。,57.1,18
,Embedding 服务如何工程化封装？,大模型 API 工程与后端集成,Embedding 服务应封装成独立能力，统一处理文本规范化、批量请求、限流、重试、超时、缓存、向量归一化、维度校验、模型版本和错误码。入库时要把 embedding_model、维度、距离函数、切分策略版本写入元数据，便于后续迁移和回滚。更换 Embedding 模型或维度通常需要重建向量索引，不能新旧向量混在同一相似度空间里直接比较。,57.1,18
,多租户 AI 应用如何隔离配置和数据？,大模型 API 工程与后端集成,多租户 AI 应用要隔离知识库、Prompt、工具权限、模型配置、密钥、缓存、日志、用量和评测数据。共享基础设施可以提高资源利用率，但所有检索、工具调用、缓存 Key、Trace 查询和后台任务都必须带 tenant_id 与权限条件。服务端应强制执行隔离策略，并通过自动化测试覆盖跨租户访问、缓存串用和日志越权等风险。,55.5,17
,为什么要固定模型版本？,大模型 API 工程与后端集成,固定模型版本是为了保证线上结果可复现、可评测、可审计和可回滚。如果一直使用供应商默认最新版，模型行为变化可能导致 Prompt 失效、结构化输出漂移、工具调用不稳定、成本变化或安全策略退化。生产中应固定模型版本，把模型升级视为发布流程：先离线评测和 Trace 回放，再灰度放量，并保留旧模型回滚方案。,54.0,16
,模型能力灰度发布如何做？,大模型 API 工程与后端集成,模型能力灰度发布应像普通功能发布一样分阶段推进：先离线评测，再内部试用，然后按租户、用户比例、功能入口或流量比例逐步放量。灰度期间要对比新旧模型在准确率、结构化输出、工具调用、RAG 忠实度、安全拒答、P95 延迟和成本上的差异。必须保留模型版本开关、Prompt 回滚和供应商降级方案，因为新模型整体更强也可能在关键业务样本上退化。,54.0,16
,如何监控模型供应商可用性？,大模型 API 工程与后端集成,监控模型供应商可用性应同时看工程、质量和成本指标。工程上关注成功率、错误码分布、P95/P99 延迟、TTFT、429、5xx、超时率和连接错误；质量上关注结构化输出失败率、工具调用异常和安全拒答变化；成本上关注费用突增和 usage 异常。可以用健康探测和少量真实流量探活，异常时触发熔断、排队、降级或切换备用供应商。,52.4,15
,AI 应用 SLA 应该关注哪些指标？,大模型 API 工程与后端集成,AI 应用 SLA 不应只看接口可用性，还要覆盖用户感知和模型质量。工程指标包括成功率、错误率、P95/P99 延迟、TTFT、超时率和供应商 429/5xx；质量指标包括任务完成率、结构化输出合规率、引用准确率、幻觉率和人工接管率；成本与安全指标包括单请求费用、Token 峰值、敏感信息命中、越权拦截和高风险工具审批率。不同业务应给核心指标设置明确阈值。,50.8,14
,Java/Spring 项目如何集成大模型能力？,大模型 API 工程与后端集成,Java/Spring 集成大模型能力时，建议把模型调用封装为独立 Client、Service 或模型网关 SDK，业务层不要直接拼 HTTP 请求。实现上要处理 WebClient/OkHttp、SSE 流式输出、超时、重试、熔断、异常映射、结构化解析、日志脱敏、配置热更新和 usage 统计。RAG、工具调用和权限校验应放在服务端受控执行，并通过 trace_id 串联一次 AI 请求的完整链路。,50.8,14
,余弦相似度、点积和 L2 距离有什么区别？,向量数据库与检索排序,余弦相似度关注向量方向，常用于衡量语义方向是否接近；点积同时受方向和向量长度影响，适合按内积目标训练或未归一化的向量；L2 距离衡量欧氏空间距离。实际选择必须与 Embedding 模型训练方式、是否归一化和向量库索引配置保持一致。距离函数变化会改变分数分布，因此 score_threshold、Top-K 和评测基线都要重新校准。,83.3,35
,HNSW 中 M、ef_construct、ef_search 参数如何影响效果？,向量数据库与检索排序,HNSW 中 M 表示每个节点保留的邻居连接数，M 越大图越稠密，召回通常更好，但内存和构建成本更高。ef_construct 控制建索引时搜索候选范围，越大索引质量通常越好，构建越慢；ef_search 控制查询时搜索范围，越大召回越高但延迟也更高。调参时一般固定业务评测集，在召回率、P95 延迟、内存和构建时间之间找平衡。,81.7,34
,HNSW 向量索引的核心思想是什么？,向量数据库与检索排序,HNSW 的核心思想是构建分层的近似近邻图：高层节点少，用于快速跳到可能相关的区域；底层节点多，用于做精细邻居搜索。它利用小世界图的可导航性，把全量扫描变成沿图搜索，用少量召回损失换取低延迟。工程上要关注 M、ef_construct、ef_search 对召回、内存和构建时间的影响，以及强过滤条件下图搜索召回下降的问题。,81.7,34
,Flat、IVF、PQ 等索引有什么取舍？,向量数据库与检索排序,Flat 是精确暴力检索，几乎不损失召回，适合小规模数据、离线评测或对召回要求极高的场景，但延迟和成本随数据量线性增长。IVF 先把向量聚类到多个倒排桶中，查询时只搜索部分桶，速度更快但可能漏召回；PQ 通过量化压缩向量显著降低内存和存储，但会损失精度。实际常把 IVF、PQ、HNSW 等组合使用，并用业务数据压测取舍。,80.1,33
,向量检索中召回率和延迟如何权衡？,向量数据库与检索排序,向量检索中召回率和延迟通常是此消彼长：提高 Top-K、ef_search、nprobe 或扩大候选集合会提升召回，但会增加计算和排序耗时。优化时应先明确业务最低召回要求，再通过 ANN 参数、过滤策略、混合检索、缓存、分片副本和 Rerank 候选数来平衡。不能只追求低延迟，如果关键证据召不回来，后续生成再快也没有意义。,78.5,32
,Embedding 维度对效果、成本和延迟有什么影响？,向量数据库与检索排序,Embedding 维度越高，单条向量占用的存储、内存带宽、索引大小和相似度计算成本通常越高，查询延迟也可能增加。更高维度不一定带来更好效果，关键取决于模型训练质量、领域匹配和检索任务；低维模型成本低但可能表达能力不足。选型时应在真实业务样本上同时评估 Recall、MRR/NDCG、索引大小、P95 延迟和费用，更换维度通常意味着需要重建索引。,76.9,31
,什么时候需要重建向量索引？,向量数据库与检索排序,需要重建向量索引的典型情况包括更换 Embedding 模型、向量维度变化、距离函数或归一化策略变化、切分策略大改、索引参数重大调整、元数据结构变化或历史数据污染严重。普通新增、修改、删除通常可通过增量索引处理。重建时应采用双索引、双写或灰度切换，用固定 Query 对比新旧召回、排序、延迟和过滤效果，并保留快速回滚能力。,76.9,31
,向量检索中的 pre-filter 和 post-filter 有什么区别？,向量数据库与检索排序,pre-filter 是先根据租户、权限、时间、类型等元数据缩小候选集合，再在过滤后的范围内做向量检索；它适合权限边界强的场景，安全性更好，但过滤过强可能影响召回。post-filter 是先向量召回再过滤，语义召回更充分，但可能出现过滤后结果不足，而且不适合敏感权限场景。生产中权限过滤应优先 pre-filter，业务过滤可根据召回效果组合使用。,75.3,30
,混合检索 Hybrid Retrieval 的典型架构是什么？,向量数据库与检索排序,混合检索通常由查询理解、BM25/稀疏检索、向量检索、多路召回融合、去重、Rerank 和上下文选择组成。BM25 擅长编号、术语、错误码和精确关键词，向量检索擅长同义表达和语义相似，融合层可以用 RRF、加权分数或规则合并候选。最后通过 Rerank、权限过滤和引用校验，把真正能支撑答案的证据排到前面。,73.7,29
,稀疏向量、BM25 和 SPLADE 分别适合什么场景？,向量数据库与检索排序,BM25 是经典关键词检索，成本低、可解释，适合编号、术语、错误码、专有名词等精确匹配。稀疏向量把文本表示成高维词项权重，兼具一定语义扩展和可解释性；SPLADE 属于神经稀疏检索，能学习词项扩展，召回效果通常更强，但索引和推理成本更高。实际选型取决于数据规模、语言、延迟预算和是否已有搜索引擎基础设施。,73.7,29
,ColBERT late interaction 的优势是什么？,向量数据库与检索排序,ColBERT 的 late interaction 不把整段文本压成一个向量，而是保留 token 级向量，并在查询 token 与文档 token 之间做细粒度匹配。它比双塔单向量检索表达能力更强，尤其适合需要精确短语和细节匹配的场景；同时又比 Cross-Encoder 更容易规模化到大候选集合。代价是索引体积、存储成本和检索实现复杂度更高。,72.1,28
,Rerank 批量推理如何优化性能？,向量数据库与检索排序,Rerank 批量推理优化的核心是减少调用次数并控制候选规模。可以把同一 Query 的多个候选组成 batch，合并短文本、限制最大输入长度、对候选去重、缓存热门 query 的排序结果，并根据场景选择轻量 reranker 或交叉编码器。还要设置候选数上限，例如先召回几十到上百条，再只对最有希望的候选重排，避免 Rerank 成为整条链路瓶颈。,70.6,27
,Qdrant、Milvus、Pinecone、Elasticsearch 向量检索如何选型？,向量数据库与检索排序,向量数据库选型应结合数据规模、过滤能力、混合检索、运维能力、成本和合规要求。Qdrant 使用体验和过滤能力较好，适合快速落地；Milvus 更适合大规模自建向量检索；Pinecone 托管化程度高但要评估成本和数据合规；Elasticsearch 适合已有全文搜索体系并需要关键词与向量结合的团队。最终应通过真实数据压测召回率、延迟和运维成本。,69.0,26
,向量库多租户是单 collection 还是多 collection？,向量数据库与检索排序,向量库多租户可以选每租户独立 collection、共享 collection 加 tenant_id 过滤，或按大客户独立、小客户共享的混合方案。独立 collection 隔离强、便于删除和迁移，但集合多时运维和资源利用率较差；共享 collection 成本低、便于统一检索，但必须依赖强制元数据过滤和严格权限测试。无论哪种方案，tenant_id 和权限条件都必须由服务端注入，不能交给模型或前端决定。,69.0,26
